package_name,weekly_downloads,repeated_characters,repeated_chars_dls,omitted_characters,omitted_chars_dls,swapped_characters,swapped_chars_dls,swapped_words,swapped_words_dls,common_typos,common_typos_dls,version_numbers,version_numbers_dls
frax,0,,,,,,,,,frac,480177,,
redux-saga2,1,,,redux-saga,662287,,,,,,,redux-saga,662287
tef,1,,,,,,,,,ref,20535,,
esdoc2-publish-html-plugin,9422,,,esdoc-publish-html-plugin,16517,,,,,,,,
pinf,2,,,,,,,,,ping,12160,,
async-locks,1050,,,async-lock,147618,,,,,,,,
is_decimal,1,,,,,,,is-decimal,2820700,is-decimal,2820700,,
web-pack,102,,,webpack,10148737,,,webpack,10148737,webpack,10148737,,
reqwire,5,,,rewire,189745,,,,,,,,
noth,5,,,,,,,,,noty,22168,,
jquery-fork,0,,,,,,,,,jquery-form,21664,,
bilt,2,,,,,,,,,bolt,30624,,
tz-geo,67,,,,,,,geo-tz,24365,,,,
gulp-karma2,8,,,gulp-karma,14356,,,,,,,gulp-karma,14356
star-rating-vue,1,,,,,,,vue-star-rating,12597,,,,
async-memo-ize,459,,,,,,,memoizeasync,25826,,,,
loci,2,,,,,,,,,lock,249422,,
grequire,1,,,require,10962,,,,,,,,
jana,1,,,,,,,,,mana,10333,,
typed,56,,,,,,,,,types,10009,,
rlequire,19,,,require,10962,,,,,,,,
ics-generator,4,,,is-generator,327836,,,,,,,,
object-iterate,1,,,,,,,iterate-object,49443,,,,
mrequire,1,,,require,10962,,,,,,,,
qas,2,,,,,,,,,qss,92779,,
generator-jhipster1,0,,,generator-jhipster,36385,,,,,,,generator-jhipster,36385
semaver,1,,,semver,49386738,,,,,,,,
#NAME?,1,,,#NAME?,33097,,,,,,,,
gulp-requirejs-optimizer,3,,,gulp-requirejs-optimize,11451,,,,,,,,
mspm,7,,,,,,,,,jspm,24336,,
map-string,11,,,,,,,stringmap,270458,,,,
vuex2,36,,,,,,,,,,,vuex,996793
vue-brouter,0,,,vue-router,1010324,,,,,,,,
iconfig,0,,,config,490896,,,,,,,,
nnnn,1,n,139624,,,,,,,,,,
redd,1,,,,,,,,,reds,32281,,
is_,1,,,,,,,is,1374393,is,1374393,,
orr,1,,,,,,,,,prr,7583666,,
bselect,0,,,select,2129738,,,,,,,,
plinked-list,0,,,linked-list,52829,,,,,,,,
brcrypt,86,,,bcrypt,401174,,,,,,,,
gifsickle,0,,,gifsicle,507957,,,,,,,,
img2-loader,0,,,img-loader,182088,,,,,,,,
webpack-as3-plugin,3,,,webpack-s3-plugin,35827,,,,,,,,
oconfig,1,,,config,490896,,,,,,,,
djs-logger,1,,,js-logger,16526,,,,,,,,
path-pack,1,,,,,,,packpath,13468,,,,
path2,6202,,,,,,,,,,,path,908102
rcr,1,,,,,,,,,rc4,170220,,
koan-views,1,,,koa-views,13548,,,,,,,,
dpath,7,,,,,,,,,xpath,441184,,
preact-router-redux,20,,,react-router-redux,396152,,,,,,,,
xscroll,63,,,scroll,88587,,,,,,,,
pmc,1,,,,,,,,,pmx,133127,,
xterm2,137,,,,,,,,,,,xterm,134834
level1,2,,,,,,,,,,,level,60801
editor2,10,,,editor,440656,,,,,,,editor,440656
babel-rewire-plugin,3,,,,,,,babel-plugin-rewire,90303,,,,
numerix,6,,,,,,,,,numeric,65963,,
inherito,8,,,inherit,93144,,,,,,,,
react-code-mirror,23,,,react-codemirror,31506,,,,,react-codemirror,31506,,
ng6-infinite-scroll,1,,,ng-infinite-scroll,31102,,,,,,,,
desq,1,,,,,,,,,resq,211831,,
angular-svg-icons,4,,,angular-svg-icon,19203,,,,,,,,
neet,0,net,73185,,,,,,,,,,
n-select,1,,,,,,,selectn,84859,,,,
ngx-dialog,25,,,ng-dialog,18804,,,,,,,,
js-cookies,1098,,,js-cookie,1545486,,,cookies-js,57730,,,,
fjson,0,,,,,,,,,cjson,346588,,
reaxt,3,,,,,,,,,react,6772632,,
wreplicator,8172,,,replicator,163836,,,,,,,,
serce,2,,,,,,,,,serve,259193,,
player-react,1,,,,,,,react-player,136940,,,,
unicodex,2,,,unicode,99251,,,,,,,,
